OSG Identifier,Institution Name,ROR Value,OSG Value
fiona-prg1.cesnet.cz,Czech Education and Scientific Network,https://ror.org/050dkka69,https://osg-htc.org/iid/z482p6c1t7x2
nrp-s1.acsu.buffalo.edu,"University at Buffalo, State University of New York",https://ror.org/01y64my43,https://osg-htc.org/iid/1cze98vy4hfm
epic001.clemson.edu,Clemson University,https://ror.org/037s24f05,https://osg-htc.org/iid/ricyf18amt49
k8s-3090-01.clemson.edu,Clemson University,https://ror.org/037s24f05,https://osg-htc.org/iid/ricyf18amt49
k8s-3090-02.clemson.edu,Clemson University,https://ror.org/037s24f05,https://osg-htc.org/iid/ricyf18amt49
csusb-sci-103-11.csusb.edu,"California State University, San Bernardino",https://ror.org/02n651896,https://osg-htc.org/iid/wra3vmvyvmgd
gpu-01.csusb.edu,"California State University, San Bernardino",https://ror.org/02n651896,https://osg-htc.org/iid/wra3vmvyvmgd
perfsonar.csusb.edu,"California State University, San Bernardino",https://ror.org/02n651896,https://osg-htc.org/iid/wra3vmvyvmgd
nautilusc01.sci.cwru.edu,Case Western Reserve University,https://ror.org/051fd9666,https://osg-htc.org/iid/7kqlt19a4h39
nautilusg01.sci.cwru.edu,Case Western Reserve University,https://ror.org/051fd9666,https://osg-htc.org/iid/7kqlt19a4h39
nautilusg02.sci.cwru.edu,Case Western Reserve University,https://ror.org/051fd9666,https://osg-htc.org/iid/7kqlt19a4h39
fiona-1.famu.edu,Florida Agricultural and Mechanical Univerity,https://ror.org/00c4wc133,https://osg-htc.org/iid/4kdz6crgg38e
bcdc-gw-40g-ps.gatech.edu,Georgia Institute of Technology,https://ror.org/01zkghx44,https://osg-htc.org/iid/uvf22j6xjbtv
rich-gw-40g-ps.gatech.edu,Georgia Institute of Technology,https://ror.org/01zkghx44,https://osg-htc.org/iid/uvf22j6xjbtv
prp01.ifa.hawaii.edu,University of Hawaii System,https://ror.org/03tzaeb71,https://osg-htc.org/iid/dsdkrs83f44q
fiona.its.hawaii.edu,University of Hawaii System,https://ror.org/03tzaeb71,https://osg-htc.org/iid/dsdkrs83f44q
koastore-osdf.its.hawaii.edu,University of Hawaii System,https://ror.org/03tzaeb71,https://osg-htc.org/iid/dsdkrs83f44q
dtn-pas.bois.net.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
dtn-pas.cinc.net.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
dtn-pas.denv.net.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
dtn-pas.hous.net.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
dtn-pas.jack.net.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
osg.chic.nrp.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
osg.kans.nrp.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
osg.newy32aoa.nrp.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
osg-houston-stashcache.nrp.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
osg-sunnyvale-stashcache.nrp.internet2.edu,Internet2,https://ror.org/010bpe446,https://osg-htc.org/iid/rdbgla0ef33b
gp-engine.beocat.ksu.edu,Kansas State University,https://ror.org/05p1j8758,https://osg-htc.org/iid/kxvagjjgn71t
regional-prp-ceph.beocat.ksu.edu,Kansas State University,https://ror.org/05p1j8758,https://osg-htc.org/iid/kxvagjjgn71t
gpn-fiona-mizzou.rnet.missouri.edu,University of Missouri,https://ror.org/02ymw8z06,https://osg-htc.org/iid/dohu2f6ba08u
gpn-fiona-mizzou-1.rnet.missouri.edu,University of Missouri,https://ror.org/02ymw8z06,https://osg-htc.org/iid/dohu2f6ba08u
gpn-fiona-mizzou-2.rnet.missouri.edu,University of Missouri,https://ror.org/02ymw8z06,https://osg-htc.org/iid/dohu2f6ba08u
gpn-fiona-mizzou-3.rnet.missouri.edu,University of Missouri,https://ror.org/02ymw8z06,https://osg-htc.org/iid/dohu2f6ba08u
gpn-fiona-mizzou-4.rnet.missouri.edu,University of Missouri,https://ror.org/02ymw8z06,https://osg-htc.org/iid/dohu2f6ba08u
gpn-fiona-mizzou-5.rnet.missouri.edu,University of Missouri,https://ror.org/02ymw8z06,https://osg-htc.org/iid/dohu2f6ba08u
nautilus01.hsrn.nyu.edu,New York University,https://ror.org/0190ak572,https://osg-htc.org/iid/hjcl6b3vh3ox
nautilus02.hsrn.nyu.edu,New York University,https://ror.org/0190ak572,https://osg-htc.org/iid/hjcl6b3vh3ox
nautilus03.hsrn.nyu.edu,New York University,https://ror.org/0190ak572,https://osg-htc.org/iid/hjcl6b3vh3ox
nautilus04.hsrn.nyu.edu,New York University,https://ror.org/0190ak572,https://osg-htc.org/iid/hjcl6b3vh3ox
fiona.hpc.okstate.edu,Oklahoma State University,https://ror.org/01g9vbr38,https://osg-htc.org/iid/ogvkim1urhzk
fiona.offn.oscer.ou.edu,University of Oklahoma,https://ror.org/02aqsxs83,https://osg-htc.org/iid/xvsrc4eixk2g
sdsmt-fiona.sdsmt.edu,South Dakota School of Mines and Technology,https://ror.org/00ch7yk27,https://osg-htc.org/iid/k3rbyge3uinw
moff.sdstate.edu,South Dakota State University,https://ror.org/015jmes13,https://osg-htc.org/iid/oqz71b6b44za
alveo.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
fiona.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
fiona8-01.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
ps-100g.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-cpu-01.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-cpu-02.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-cpu-03.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-cpu-04.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-dtn-01.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-dtn-02.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-dtn-03.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-01.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-02.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-03.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-04.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-05.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-06.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-07.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
rci-nrp-gpu-08.sdsu.edu,San Diego State University,https://ror.org/0264fdx42,https://osg-htc.org/iid/lly8f2d4uk76
netw-fiona.stanford.edu,Stanford University,https://ror.org/00f54p054,https://osg-htc.org/iid/keucrg5vtwtm
netw-fiona-ucsf.stanford.edu,Stanford University,https://ror.org/00f54p054,https://osg-htc.org/iid/keucrg5vtwtm
nautilus1.hpc.uark.edu,University of Arkansas at Fayetteville,https://ror.org/05jbt9m15,https://osg-htc.org/iid/78b3lgmajszi
fiona.nwsc.ucar.edu,University Corporation for Atmospheric Research,https://ror.org/04zhhyn23,https://osg-htc.org/iid/b8t0c7enpu1x
fiona-dtn-1.calit2.uci.edu,"University of California, Irvine",https://ror.org/04gyf1771,https://osg-htc.org/iid/ss614ab1u5qd
fiona8-0.calit2.uci.edu,"University of California, Irvine",https://ror.org/04gyf1771,https://osg-htc.org/iid/ss614ab1u5qd
fiona8-1.calit2.uci.edu,"University of California, Irvine",https://ror.org/04gyf1771,https://osg-htc.org/iid/ss614ab1u5qd
clu-fiona2.ucmerced.edu,"University of California, Merced",https://ror.org/00d9ah105,https://osg-htc.org/iid/x5v4n3xgq7lu
ucm-fiona01.ucmerced.edu,"University of California, Merced",https://ror.org/00d9ah105,https://osg-htc.org/iid/x5v4n3xgq7lu
dtn-main.ucr.edu,"University of California, Riverside",https://ror.org/03nawhv43,https://osg-htc.org/iid/zy99b9jjoqpb
k8s-gpu-1.ucr.edu,"University of California, Riverside",https://ror.org/03nawhv43,https://osg-htc.org/iid/zy99b9jjoqpb
k8s-gpu-2.ucr.edu,"University of California, Riverside",https://ror.org/03nawhv43,https://osg-htc.org/iid/zy99b9jjoqpb
k8s-gpu-3.ucr.edu,"University of California, Riverside",https://ror.org/03nawhv43,https://osg-htc.org/iid/zy99b9jjoqpb
k8s-chase-ci-01.noc.ucsb.edu,"University of California, Santa Barbara",https://ror.org/02t274463,https://osg-htc.org/iid/rglo22hiw2ge
prp-dtn.noc.ucsb.edu,"University of California, Santa Barbara",https://ror.org/02t274463,https://osg-htc.org/iid/rglo22hiw2ge
v100-cc-star-01.noc.ucsb.edu,"University of California, Santa Barbara",https://ror.org/02t274463,https://osg-htc.org/iid/rglo22hiw2ge
fiona.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
fiona-100g.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
fiona-dtn-1.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
fiona8.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
hydra.gi.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
k8s-gpu-1.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
k8s-gpu-2.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
k8s-gpu-3.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
